Name , Num_Points , Num_Fibers , EstimatedUncertaintyMax , EstimatedUncertaintyMean , EstimatedUncertaintyMedium , EstimatedUncertaintyMin , EstimatedUncertaintyP1_10 , EstimatedUncertaintyP1_10_avg , EstimatedUncertaintyP9_10 , EstimatedUncertaintyP9_10_avg , EstimatedUncertaintyQuantile1 , EstimatedUncertaintyQuantile1_avg , EstimatedUncertaintyQuantile2 , EstimatedUncertaintyQuantile2_avg , EstimatedUncertaintyQuantile3 , EstimatedUncertaintyQuantile3_avg , EstimatedUncertaintyQuantile4_avg , tensor1.FractionalAnisotropyMax , tensor1.FractionalAnisotropyMean , tensor1.FractionalAnisotropyMedium , tensor1.FractionalAnisotropyMin , tensor1.FractionalAnisotropyP1_10 , tensor1.FractionalAnisotropyP1_10_avg , tensor1.FractionalAnisotropyP9_10 , tensor1.FractionalAnisotropyP9_10_avg , tensor1.FractionalAnisotropyQuantile1 , tensor1.FractionalAnisotropyQuantile1_avg , tensor1.FractionalAnisotropyQuantile2 , tensor1.FractionalAnisotropyQuantile2_avg , tensor1.FractionalAnisotropyQuantile3 , tensor1.FractionalAnisotropyQuantile3_avg , tensor1.FractionalAnisotropyQuantile4_avg , tensor1.LinearMeasurementMax , tensor1.LinearMeasurementMean , tensor1.LinearMeasurementMedium , tensor1.LinearMeasurementMin , tensor1.LinearMeasurementP1_10 , tensor1.LinearMeasurementP1_10_avg , tensor1.LinearMeasurementP9_10 , tensor1.LinearMeasurementP9_10_avg , tensor1.LinearMeasurementQuantile1 , tensor1.LinearMeasurementQuantile1_avg , tensor1.LinearMeasurementQuantile2 , tensor1.LinearMeasurementQuantile2_avg , tensor1.LinearMeasurementQuantile3 , tensor1.LinearMeasurementQuantile3_avg , tensor1.LinearMeasurementQuantile4_avg , tensor1.MaxEigenvalueMax , tensor1.MaxEigenvalueMean , tensor1.MaxEigenvalueMedium , tensor1.MaxEigenvalueMin , tensor1.MaxEigenvalueP1_10 , tensor1.MaxEigenvalueP1_10_avg , tensor1.MaxEigenvalueP9_10 , tensor1.MaxEigenvalueP9_10_avg , tensor1.MaxEigenvalueQuantile1 , tensor1.MaxEigenvalueQuantile1_avg , tensor1.MaxEigenvalueQuantile2 , tensor1.MaxEigenvalueQuantile2_avg , tensor1.MaxEigenvalueQuantile3 , tensor1.MaxEigenvalueQuantile3_avg , tensor1.MaxEigenvalueQuantile4_avg , tensor1.MidEigenvalueMax , tensor1.MidEigenvalueMean , tensor1.MidEigenvalueMedium , tensor1.MidEigenvalueMin , tensor1.MidEigenvalueP1_10 , tensor1.MidEigenvalueP1_10_avg , tensor1.MidEigenvalueP9_10 , tensor1.MidEigenvalueP9_10_avg , tensor1.MidEigenvalueQuantile1 , tensor1.MidEigenvalueQuantile1_avg , tensor1.MidEigenvalueQuantile2 , tensor1.MidEigenvalueQuantile2_avg , tensor1.MidEigenvalueQuantile3 , tensor1.MidEigenvalueQuantile3_avg , tensor1.MidEigenvalueQuantile4_avg , tensor1.SphericalMeasurementMax , tensor1.SphericalMeasurementMean , tensor1.SphericalMeasurementMedium , tensor1.SphericalMeasurementMin , tensor1.SphericalMeasurementP1_10 , tensor1.SphericalMeasurementP1_10_avg , tensor1.SphericalMeasurementP9_10 , tensor1.SphericalMeasurementP9_10_avg , tensor1.SphericalMeasurementQuantile1 , tensor1.SphericalMeasurementQuantile1_avg , tensor1.SphericalMeasurementQuantile2 , tensor1.SphericalMeasurementQuantile2_avg , tensor1.SphericalMeasurementQuantile3 , tensor1.SphericalMeasurementQuantile3_avg , tensor1.SphericalMeasurementQuantile4_avg , tensor1.TraceMax , tensor1.TraceMean , tensor1.TraceMedium , tensor1.TraceMin , tensor1.TraceP1_10 , tensor1.TraceP1_10_avg , tensor1.TraceP9_10 , tensor1.TraceP9_10_avg , tensor1.TraceQuantile1 , tensor1.TraceQuantile1_avg , tensor1.TraceQuantile2 , tensor1.TraceQuantile2_avg , tensor1.TraceQuantile3 , tensor1.TraceQuantile3_avg , tensor1.TraceQuantile4_avg
/data/lmi/projects/autism/odonnell_autism_analysis/dataset_150/atlas/s_at_05_ukf_1t/clusters_l40_k200_f15000/fiber_clusters_00000_initial_clusters/R0037_V1288_reg_reg/cluster_00001.vtp , 68641.000000 , 1418.000000 , 1191.089600 , 416.564929 , 421.761261 , 0.022361 , 338.364410 , 231.962992 , 508.005463 , 547.294739 , 388.687073 , 313.111657 , 421.761261 , 407.266685 , 460.111816 , 438.578417 , 507.308986 , 0.741034 , 0.370945 , 0.362876 , 0.220000 , 0.265745 , 0.244757 , 0.483054 , 0.519791 , 0.309646 , 0.271499 , 0.362876 , 0.337003 , 0.429450 , 0.394264 , 0.481020 , 0.777009 , 0.461956 , 0.457401 , 0.307854 , 0.358746 , 0.335673 , 0.566577 , 0.597701 , 0.404753 , 0.364474 , 0.457401 , 0.432075 , 0.519290 , 0.486909 , 0.564370 , 0.001212 , 0.000696 , 0.000696 , 0.000469 , 0.000625 , 0.000591 , 0.000764 , 0.000805 , 0.000659 , 0.000623 , 0.000696 , 0.000677 , 0.000732 , 0.000713 , 0.000770 , 0.000834 , 0.000373 , 0.000372 , 0.000161 , 0.000303 , 0.000276 , 0.000444 , 0.000471 , 0.000334 , 0.000302 , 0.000372 , 0.000353 , 0.000413 , 0.000392 , 0.000445 , 0.692146 , 0.538044 , 0.542599 , 0.222991 , 0.433423 , 0.402303 , 0.641254 , 0.664330 , 0.480710 , 0.435633 , 0.542599 , 0.513094 , 0.595247 , 0.567928 , 0.635528 , 0.002880 , 0.001442 , 0.001433 , 0.000980 , 0.001261 , 0.001192 , 0.001621 , 0.001704 , 0.001353 , 0.001265 , 0.001433 , 0.001394 , 0.001534 , 0.001481 , 0.001630
/data/lmi/projects/autism/odonnell_autism_analysis/dataset_150/atlas/s_at_05_ukf_1t/clusters_l40_k200_f15000/fiber_clusters_00000_initial_clusters/R0037_V1288_reg_reg/cluster_00002.vtp , 100050.000000 , 2445.000000 , 867.862244 , 405.722551 , 413.704742 , 0.022361 , 346.129822 , 214.493232 , 478.104797 , 524.203605 , 381.047028 , 306.763961 , 413.704742 , 396.883691 , 450.604370 , 431.496383 , 487.750478 , 0.783957 , 0.458220 , 0.442854 , 0.220011 , 0.288593 , 0.257330 , 0.640402 , 0.676258 , 0.355776 , 0.296817 , 0.442854 , 0.399169 , 0.564731 , 0.504253 , 0.632649 , 0.811372 , 0.539209 , 0.531305 , 0.307866 , 0.383009 , 0.349348 , 0.696794 , 0.725421 , 0.450555 , 0.390657 , 0.531305 , 0.491368 , 0.635387 , 0.584424 , 0.690395 , 0.000974 , 0.000728 , 0.000718 , 0.000482 , 0.000634 , 0.000607 , 0.000838 , 0.000866 , 0.000668 , 0.000634 , 0.000718 , 0.000690 , 0.000791 , 0.000752 , 0.000835 , 0.000659 , 0.000329 , 0.000335 , 0.000145 , 0.000242 , 0.000216 , 0.000409 , 0.000440 , 0.000281 , 0.000243 , 0.000335 , 0.000311 , 0.000372 , 0.000354 , 0.000409 , 0.692134 , 0.460791 , 0.468699 , 0.188628 , 0.303209 , 0.274585 , 0.616994 , 0.650658 , 0.364613 , 0.309607 , 0.468699 , 0.415583 , 0.549445 , 0.508637 , 0.609346 , 0.002286 , 0.001386 , 0.001378 , 0.000930 , 0.001237 , 0.001167 , 0.001529 , 0.001629 , 0.001318 , 0.001238 , 0.001378 , 0.001347 , 0.001456 , 0.001415 , 0.001546
/data/lmi/projects/autism/odonnell_autism_analysis/dataset_150/atlas/s_at_05_ukf_1t/clusters_l40_k200_f15000/fiber_clusters_00000_initial_clusters/R0037_V1288_reg_reg/cluster_00003.vtp , 32095.000000 , 512.000000 , 1174.948975 , 420.520512 , 419.271179 , 0.022361 , 345.916901 , 251.711923 , 491.829620 , 603.171395 , 383.627594 , 322.275718 , 419.271179 , 402.211016 , 451.825928 , 435.447507 , 522.160474 , 0.722644 , 0.404939 , 0.382093 , 0.220005 , 0.263375 , 0.244589 , 0.587550 , 0.618872 , 0.311900 , 0.270784 , 0.382093 , 0.348236 , 0.492489 , 0.428636 , 0.572120 , 0.762361 , 0.491479 , 0.475676 , 0.307859 , 0.356188 , 0.335506 , 0.654086 , 0.679431 , 0.407049 , 0.363713 , 0.475676 , 0.443009 , 0.574705 , 0.518135 , 0.641078 , 0.001087 , 0.000709 , 0.000695 , 0.000475 , 0.000613 , 0.000575 , 0.000818 , 0.000882 , 0.000651 , 0.000610 , 0.000695 , 0.000673 , 0.000766 , 0.000725 , 0.000828 , 0.000749 , 0.000356 , 0.000353 , 0.000184 , 0.000272 , 0.000253 , 0.000429 , 0.000488 , 0.000306 , 0.000275 , 0.000353 , 0.000330 , 0.000397 , 0.000375 , 0.000443 , 0.692141 , 0.508521 , 0.524324 , 0.237639 , 0.345914 , 0.320577 , 0.643812 , 0.664501 , 0.425295 , 0.358930 , 0.524324 , 0.481877 , 0.592951 , 0.556999 , 0.636292 , 0.002584 , 0.001421 , 0.001403 , 0.001059 , 0.001251 , 0.001192 , 0.001557 , 0.001774 , 0.001319 , 0.001251 , 0.001403 , 0.001360 , 0.001493 , 0.001452 , 0.001620
/data/lmi/projects/autism/odonnell_autism_analysis/dataset_150/atlas/s_at_05_ukf_1t/clusters_l40_k200_f15000/fiber_clusters_00000_initial_clusters/R0037_V1288_reg_reg/cluster_00004.vtp , 4494.000000 , 44.000000 , 640.494324 , 417.906184 , 427.772308 , 0.022361 , 352.859070 , 275.804605 , 486.824524 , 500.905786 , 392.699951 , 337.217321 , 427.772308 , 411.769936 , 456.806763 , 440.699149 , 482.015643 , 0.769286 , 0.481224 , 0.488839 , 0.220087 , 0.274258 , 0.251135 , 0.701074 , 0.723708 , 0.339270 , 0.283293 , 0.488839 , 0.399864 , 0.614549 , 0.562026 , 0.679961 , 0.799588 , 0.557356 , 0.571568 , 0.307954 , 0.367872 , 0.342670 , 0.745201 , 0.763212 , 0.434440 , 0.376780 , 0.571568 , 0.491582 , 0.675993 , 0.632950 , 0.728333 , 0.000942 , 0.000746 , 0.000738 , 0.000503 , 0.000621 , 0.000569 , 0.000871 , 0.000902 , 0.000676 , 0.000621 , 0.000738 , 0.000708 , 0.000825 , 0.000786 , 0.000868 , 0.000530 , 0.000319 , 0.000321 , 0.000164 , 0.000223 , 0.000209 , 0.000419 , 0.000451 , 0.000258 , 0.000229 , 0.000321 , 0.000285 , 0.000367 , 0.000346 , 0.000415 , 0.692046 , 0.442644 , 0.428649 , 0.200412 , 0.254799 , 0.236828 , 0.632128 , 0.657386 , 0.324007 , 0.271714 , 0.428649 , 0.367198 , 0.565560 , 0.508611 , 0.623272 , 0.001891 , 0.001383 , 0.001368 , 0.001097 , 0.001238 , 0.001197 , 0.001565 , 0.001634 , 0.001313 , 0.001247 , 0.001368 , 0.001342 , 0.001442 , 0.001395 , 0.001549
/data/lmi/projects/autism/odonnell_autism_analysis/dataset_150/atlas/s_at_05_ukf_1t/clusters_l40_k200_f15000/fiber_clusters_00000_initial_clusters/R0037_V1288_reg_reg/cluster_00005.vtp , 2804.000000 , 82.000000 , 1338.813354 , 446.339899 , 440.310120 , 0.022361 , 353.613251 , 207.131311 , 565.332092 , 669.342613 , 396.194183 , 307.955390 , 440.310120 , 419.445860 , 508.193542 , 470.461740 , 587.895952 , 0.614803 , 0.331673 , 0.329527 , 0.220282 , 0.240478 , 0.231362 , 0.428527 , 0.477617 , 0.264711 , 0.243273 , 0.329527 , 0.297198 , 0.379856 , 0.354366 , 0.432124 , 0.676198 , 0.423885 , 0.424788 , 0.308177 , 0.331041 , 0.320776 , 0.518458 , 0.561386 , 0.357632 , 0.334046 , 0.424788 , 0.391729 , 0.473567 , 0.449093 , 0.520940 , 0.001192 , 0.000734 , 0.000719 , 0.000595 , 0.000660 , 0.000645 , 0.000819 , 0.000911 , 0.000685 , 0.000661 , 0.000719 , 0.000703 , 0.000761 , 0.000737 , 0.000837 , 0.000820 , 0.000422 , 0.000420 , 0.000245 , 0.000339 , 0.000312 , 0.000493 , 0.000542 , 0.000383 , 0.000343 , 0.000420 , 0.000403 , 0.000462 , 0.000441 , 0.000503 , 0.691823 , 0.576115 , 0.575231 , 0.323802 , 0.481542 , 0.438767 , 0.668959 , 0.679261 , 0.526927 , 0.479196 , 0.575231 , 0.551046 , 0.642569 , 0.608463 , 0.666021 , 0.002826 , 0.001579 , 0.001561 , 0.001170 , 0.001367 , 0.001301 , 0.001772 , 0.001956 , 0.001468 , 0.001375 , 0.001561 , 0.001514 , 0.001675 , 0.001614 , 0.001814
/data/lmi/projects/autism/odonnell_autism_analysis/dataset_150/atlas/s_at_05_ukf_1t/clusters_l40_k200_f15000/fiber_clusters_00000_initial_clusters/R0037_V1288_reg_reg/cluster_00006.vtp , 14325.000000 , 507.000000 , 1547.938354 , 692.385760 , 657.015259 , 0.022361 , 331.028412 , 196.533124 , 1060.237793 , 1157.824147 , 509.941010 , 353.882005 , 657.015259 , 576.864758 , 919.770996 , 784.344801 , 1054.546003 , 0.670395 , 0.310629 , 0.295140 , 0.220029 , 0.237757 , 0.229821 , 0.401949 , 0.446334 , 0.259002 , 0.240875 , 0.295140 , 0.276591 , 0.351791 , 0.321644 , 0.403428 , 0.720772 , 0.403287 , 0.389832 , 0.307887 , 0.327999 , 0.319040 , 0.494197 , 0.533809 , 0.351446 , 0.331394 , 0.389832 , 0.370281 , 0.446691 , 0.416744 , 0.494749 , 0.001304 , 0.000924 , 0.000927 , 0.000574 , 0.000737 , 0.000701 , 0.001110 , 0.001136 , 0.000798 , 0.000741 , 0.000927 , 0.000860 , 0.001053 , 0.000992 , 0.001104 , 0.000900 , 0.000550 , 0.000547 , 0.000264 , 0.000426 , 0.000392 , 0.000678 , 0.000718 , 0.000477 , 0.000429 , 0.000547 , 0.000511 , 0.000622 , 0.000584 , 0.000676 , 0.692113 , 0.596713 , 0.610168 , 0.279228 , 0.505803 , 0.466218 , 0.672001 , 0.680966 , 0.553309 , 0.505265 , 0.610168 , 0.583272 , 0.648554 , 0.629730 , 0.668611 , 0.003104 , 0.002024 , 0.002029 , 0.001112 , 0.001613 , 0.001526 , 0.002430 , 0.002545 , 0.001756 , 0.001621 , 0.002029 , 0.001885 , 0.002279 , 0.002165 , 0.002426
/data/lmi/projects/autism/odonnell_autism_analysis/dataset_150/atlas/s_at_05_ukf_1t/clusters_l40_k200_f15000/fiber_clusters_00000_initial_clusters/R0037_V1288_reg_reg/cluster_00007.vtp , 123249.000000 , 2313.000000 , 838.598694 , 413.861124 , 422.908569 , 0.022361 , 351.226776 , 243.696662 , 487.698883 , 524.898334 , 384.682007 , 319.980639 , 422.908569 , 403.509368 , 457.230194 , 439.625242 , 492.332293 , 0.775670 , 0.421236 , 0.402326 , 0.220005 , 0.276844 , 0.253081 , 0.588560 , 0.623410 , 0.322608 , 0.281965 , 0.402326 , 0.360274 , 0.519816 , 0.460975 , 0.581734 , 0.804709 , 0.506535 , 0.494545 , 0.307859 , 0.370623 , 0.344788 , 0.654910 , 0.683044 , 0.417869 , 0.375521 , 0.494545 , 0.454626 , 0.597962 , 0.546937 , 0.649060 , 0.000957 , 0.000717 , 0.000708 , 0.000481 , 0.000630 , 0.000606 , 0.000816 , 0.000842 , 0.000664 , 0.000632 , 0.000708 , 0.000686 , 0.000770 , 0.000737 , 0.000813 , 0.000643 , 0.000349 , 0.000356 , 0.000149 , 0.000263 , 0.000238 , 0.000427 , 0.000459 , 0.000304 , 0.000266 , 0.000356 , 0.000332 , 0.000391 , 0.000372 , 0.000428 , 0.692141 , 0.493465 , 0.505455 , 0.195291 , 0.345090 , 0.316959 , 0.629377 , 0.655214 , 0.402038 , 0.350942 , 0.505455 , 0.453066 , 0.582131 , 0.545376 , 0.624481 , 0.002232 , 0.001416 , 0.001414 , 0.000915 , 0.001247 , 0.001177 , 0.001565 , 0.001668 , 0.001335 , 0.001250 , 0.001414 , 0.001376 , 0.001496 , 0.001455 , 0.001581
/data/lmi/projects/autism/odonnell_autism_analysis/dataset_150/atlas/s_at_05_ukf_1t/clusters_l40_k200_f15000/fiber_clusters_00000_initial_clusters/R0037_V1288_reg_reg/cluster_00008.vtp , 20345.000000 , 476.000000 , 1486.707275 , 461.123844 , 467.640839 , 0.022361 , 356.290924 , 231.282056 , 575.701721 , 665.733527 , 401.796875 , 320.462675 , 467.640839 , 433.289718 , 523.070312 , 496.149538 , 594.621099 , 0.664799 , 0.361205 , 0.351600 , 0.220036 , 0.245685 , 0.234505 , 0.494576 , 0.544174 , 0.280099 , 0.251176 , 0.351600 , 0.315244 , 0.424920 , 0.387433 , 0.490987 , 0.716307 , 0.451505 , 0.446506 , 0.307895 , 0.336830 , 0.324307 , 0.576496 , 0.618089 , 0.374073 , 0.342690 , 0.446506 , 0.410177 , 0.515199 , 0.480489 , 0.572684 , 0.001214 , 0.000750 , 0.000735 , 0.000553 , 0.000680 , 0.000660 , 0.000833 , 0.000905 , 0.000705 , 0.000680 , 0.000735 , 0.000720 , 0.000783 , 0.000756 , 0.000846 , 0.000828 , 0.000411 , 0.000413 , 0.000210 , 0.000314 , 0.000281 , 0.000493 , 0.000534 , 0.000360 , 0.000317 , 0.000413 , 0.000387 , 0.000464 , 0.000439 , 0.000500 , 0.692105 , 0.548495 , 0.553494 , 0.283693 , 0.423504 , 0.381932 , 0.663170 , 0.675699 , 0.484801 , 0.427328 , 0.553494 , 0.519525 , 0.625927 , 0.589837 , 0.657316 , 0.002869 , 0.001572 , 0.001576 , 0.001093 , 0.001334 , 0.001269 , 0.001784 , 0.001926 , 0.001446 , 0.001346 , 0.001576 , 0.001510 , 0.001682 , 0.001630 , 0.001803
/data/lmi/projects/autism/odonnell_autism_analysis/dataset_150/atlas/s_at_05_ukf_1t/clusters_l40_k200_f15000/fiber_clusters_00000_initial_clusters/R0037_V1288_reg_reg/cluster_00009.vtp , 65342.000000 , 1218.000000 , 1595.933350 , 514.920677 , 513.347473 , 0.022361 , 378.770233 , 261.119459 , 638.400391 , 785.058725 , 453.304108 , 356.989310 , 513.347473 , 485.355953 , 574.738708 , 543.592994 , 673.755930 , 0.701203 , 0.408130 , 0.399418 , 0.220001 , 0.265844 , 0.246477 , 0.566501 , 0.606322 , 0.314293 , 0.272787 , 0.399418 , 0.357718 , 0.490989 , 0.444355 , 0.557670 , 0.745303 , 0.494870 , 0.491855 , 0.307854 , 0.358854 , 0.337589 , 0.636845 , 0.669233 , 0.409478 , 0.365852 , 0.491855 , 0.452111 , 0.573417 , 0.532387 , 0.629140 , 0.001261 , 0.000809 , 0.000799 , 0.000544 , 0.000709 , 0.000683 , 0.000930 , 0.001011 , 0.000743 , 0.000709 , 0.000799 , 0.000771 , 0.000848 , 0.000823 , 0.000933 , 0.000867 , 0.000406 , 0.000415 , 0.000195 , 0.000297 , 0.000264 , 0.000493 , 0.000545 , 0.000352 , 0.000302 , 0.000415 , 0.000386 , 0.000455 , 0.000435 , 0.000501 , 0.692146 , 0.505130 , 0.508146 , 0.254697 , 0.363155 , 0.330772 , 0.641146 , 0.662414 , 0.426583 , 0.370863 , 0.508146 , 0.467620 , 0.590522 , 0.547896 , 0.634150 , 0.002995 , 0.001620 , 0.001615 , 0.001097 , 0.001374 , 0.001287 , 0.001843 , 0.002038 , 0.001513 , 0.001384 , 0.001615 , 0.001570 , 0.001703 , 0.001654 , 0.001872
/data/lmi/projects/autism/odonnell_autism_analysis/dataset_150/atlas/s_at_05_ukf_1t/clusters_l40_k200_f15000/fiber_clusters_00000_initial_clusters/R0037_V1288_reg_reg/cluster_00010.vtp , 34221.000000 , 948.000000 , 652.169617 , 405.265317 , 420.778992 , 0.022361 , 341.830322 , 200.136247 , 471.121765 , 510.894666 , 390.873383 , 303.403535 , 420.778992 , 407.002642 , 444.933197 , 432.829584 , 477.837415 , 0.649998 , 0.402853 , 0.400227 , 0.220022 , 0.254911 , 0.238908 , 0.547118 , 0.581775 , 0.314118 , 0.265208 , 0.400227 , 0.360500 , 0.490449 , 0.442282 , 0.543438 , 0.704480 , 0.490124 , 0.492605 , 0.307878 , 0.346984 , 0.329217 , 0.620818 , 0.649267 , 0.409300 , 0.357686 , 0.492605 , 0.454820 , 0.572953 , 0.530539 , 0.617465 , 0.000874 , 0.000707 , 0.000705 , 0.000536 , 0.000637 , 0.000618 , 0.000783 , 0.000798 , 0.000663 , 0.000638 , 0.000705 , 0.000682 , 0.000751 , 0.000728 , 0.000779 , 0.000540 , 0.000357 , 0.000353 , 0.000221 , 0.000282 , 0.000261 , 0.000437 , 0.000466 , 0.000313 , 0.000284 , 0.000353 , 0.000335 , 0.000399 , 0.000372 , 0.000438 , 0.692122 , 0.509876 , 0.507395 , 0.295520 , 0.379182 , 0.350741 , 0.653016 , 0.670789 , 0.427047 , 0.382540 , 0.507395 , 0.469470 , 0.590699 , 0.545190 , 0.642320 , 0.001890 , 0.001421 , 0.001411 , 0.001053 , 0.001282 , 0.001218 , 0.001551 , 0.001658 , 0.001355 , 0.001283 , 0.001411 , 0.001384 , 0.001486 , 0.001444 , 0.001574
/data/lmi/projects/autism/odonnell_autism_analysis/dataset_150/atlas/s_at_05_ukf_1t/clusters_l40_k200_f15000/fiber_clusters_00000_initial_clusters/R0037_V1288_reg_reg/cluster_00011.vtp , 0.000000 , 0.000000 , NAN , NAN , NAN , NAN , NAN , NAN , NAN , NAN , NAN , NAN , NAN , NAN , NAN , NAN , NAN , NAN , NAN , NAN , NAN , NAN , NAN , NAN , NAN , NAN , NAN , NAN , NAN , NAN , NAN , NAN , NAN , NAN , NAN , NAN , NAN , NAN , NAN , NAN , NAN , NAN , NAN , NAN , NAN , NAN , NAN , NAN , NAN , NAN , NAN , NAN , NAN , NAN , NAN , NAN , NAN , NAN , NAN , NAN , NAN , NAN , NAN , NAN , NAN , NAN , NAN , NAN , NAN , NAN , NAN , NAN , NAN , NAN , NAN , NAN , NAN , NAN , NAN , NAN , NAN , NAN , NAN , NAN , NAN , NAN , NAN , NAN , NAN , NAN , NAN , NAN , NAN , NAN , NAN , NAN , NAN , NAN , NAN , NAN , NAN , NAN , NAN , NAN , NAN , NAN , NAN
/data/lmi/projects/autism/odonnell_autism_analysis/dataset_150/atlas/s_at_05_ukf_1t/clusters_l40_k200_f15000/fiber_clusters_00000_initial_clusters/R0037_V1288_reg_reg/cluster_00012.vtp , 58774.000000 , 1534.000000 , 681.910583 , 407.339478 , 421.301544 , 0.022361 , 341.741943 , 209.403584 , 494.701019 , 540.065526 , 375.373444 , 299.564743 , 421.301544 , 399.205776 , 448.974304 , 434.971697 , 495.623587 , 0.655981 , 0.387235 , 0.368645 , 0.220002 , 0.258768 , 0.241320 , 0.545896 , 0.585042 , 0.298148 , 0.263916 , 0.368645 , 0.331491 , 0.468829 , 0.416283 , 0.537260 , 0.709265 , 0.475519 , 0.462924 , 0.307856 , 0.351191 , 0.331886 , 0.619802 , 0.651934 , 0.392948 , 0.356436 , 0.462924 , 0.426510 , 0.554219 , 0.507001 , 0.612141 , 0.000913 , 0.000706 , 0.000693 , 0.000530 , 0.000611 , 0.000589 , 0.000812 , 0.000847 , 0.000652 , 0.000616 , 0.000693 , 0.000672 , 0.000762 , 0.000725 , 0.000810 , 0.000606 , 0.000365 , 0.000366 , 0.000236 , 0.000289 , 0.000274 , 0.000433 , 0.000463 , 0.000324 , 0.000293 , 0.000366 , 0.000345 , 0.000406 , 0.000386 , 0.000436 , 0.692145 , 0.524481 , 0.537084 , 0.290735 , 0.380198 , 0.348071 , 0.648809 , 0.668118 , 0.445781 , 0.387863 , 0.537084 , 0.493009 , 0.607052 , 0.573498 , 0.643567 , 0.002100 , 0.001436 , 0.001445 , 0.001140 , 0.001274 , 0.001234 , 0.001570 , 0.001682 , 0.001343 , 0.001279 , 0.001445 , 0.001397 , 0.001507 , 0.001476 , 0.001592
/data/lmi/projects/autism/odonnell_autism_analysis/dataset_150/atlas/s_at_05_ukf_1t/clusters_l40_k200_f15000/fiber_clusters_00000_initial_clusters/R0037_V1288_reg_reg/cluster_00013.vtp , 1113.000000 , 27.000000 , 500.139801 , 385.349309 , 397.449127 , 0.022361 , 326.079346 , 217.560500 , 457.176361 , 476.596249 , 358.226044 , 291.932596 , 397.449127 , 381.441174 , 428.488525 , 412.059380 , 456.300119 , 0.448868 , 0.306277 , 0.298617 , 0.220559 , 0.244566 , 0.233340 , 0.378453 , 0.402068 , 0.267110 , 0.246976 , 0.298617 , 0.282380 , 0.344972 , 0.318553 , 0.377412 , 0.536652 , 0.399746 , 0.393433 , 0.308495 , 0.335589 , 0.322997 , 0.472242 , 0.494128 , 0.360217 , 0.338125 , 0.393433 , 0.376429 , 0.440040 , 0.413687 , 0.470966 , 0.000778 , 0.000646 , 0.000649 , 0.000536 , 0.000576 , 0.000563 , 0.000716 , 0.000744 , 0.000606 , 0.000578 , 0.000649 , 0.000633 , 0.000672 , 0.000660 , 0.000712 , 0.000500 , 0.000387 , 0.000385 , 0.000284 , 0.000346 , 0.000323 , 0.000435 , 0.000454 , 0.000362 , 0.000341 , 0.000385 , 0.000374 , 0.000409 , 0.000396 , 0.000435 , 0.691505 , 0.600254 , 0.606567 , 0.463348 , 0.527758 , 0.506068 , 0.664411 , 0.677116 , 0.559960 , 0.529144 , 0.606567 , 0.586481 , 0.639783 , 0.623690 , 0.661955 , 0.001723 , 0.001419 , 0.001423 , 0.001129 , 0.001277 , 0.001223 , 0.001568 , 0.001617 , 0.001351 , 0.001280 , 0.001423 , 0.001389 , 0.001483 , 0.001447 , 0.001561
/data/lmi/projects/autism/odonnell_autism_analysis/dataset_150/atlas/s_at_05_ukf_1t/clusters_l40_k200_f15000/fiber_clusters_00000_initial_clusters/R0037_V1288_reg_reg/cluster_00014.vtp , 27856.000000 , 918.000000 , 653.368591 , 448.354992 , 472.297211 , 0.022361 , 367.449127 , 182.612448 , 528.493286 , 552.391897 , 433.601776 , 320.565311 , 472.297211 , 455.561806 , 503.648621 , 487.475314 , 529.847589 , 0.621440 , 0.413293 , 0.430374 , 0.220014 , 0.271258 , 0.246325 , 0.516077 , 0.554201 , 0.351694 , 0.285948 , 0.430374 , 0.396263 , 0.475769 , 0.454108 , 0.516888 , 0.681552 , 0.501086 , 0.520123 , 0.307869 , 0.364668 , 0.337378 , 0.594803 , 0.626549 , 0.446597 , 0.379261 , 0.520123 , 0.488709 , 0.560264 , 0.541232 , 0.595176 , 0.000898 , 0.000768 , 0.000773 , 0.000628 , 0.000695 , 0.000678 , 0.000831 , 0.000843 , 0.000730 , 0.000699 , 0.000773 , 0.000752 , 0.000811 , 0.000793 , 0.000830 , 0.000579 , 0.000381 , 0.000372 , 0.000264 , 0.000319 , 0.000301 , 0.000455 , 0.000480 , 0.000343 , 0.000320 , 0.000372 , 0.000358 , 0.000418 , 0.000391 , 0.000455 , 0.692131 , 0.498914 , 0.479885 , 0.318448 , 0.405197 , 0.373463 , 0.635332 , 0.662632 , 0.439740 , 0.404834 , 0.479885 , 0.458780 , 0.553448 , 0.511312 , 0.620759 , 0.002002 , 0.001530 , 0.001529 , 0.001283 , 0.001391 , 0.001364 , 0.001665 , 0.001733 , 0.001453 , 0.001400 , 0.001529 , 0.001493 , 0.001592 , 0.001560 , 0.001667
